目标词,关联预设词,共现频次
国家,阶级,225
国家,资产阶级,179
国家,革命,162
国家,公社,122
国家,无产阶级,91
国家,统治阶级,89
国家,阶级斗争,88
国家,公共权力,70
国家,暴力,47
国家,过渡时期,23
国家,打碎,19
国家,上层建筑,10
国家,廉价政府,6
