目标词,关联预设词,共现频次
国家,革命,119
国家,阶级,104
国家,市民社会,77
国家,共同体,71
国家,无产阶级,66
国家,异化,63
国家,资产阶级,60
国家,统治阶级,34
国家,意识形态,33
国家,生产关系,20
国家,暴力,16
国家,上层建筑,11
