目标词,关联预设词,共现频次
国家,资产阶级,431
国家,革命,415
国家,无产阶级,386
国家,阶级,317
国家,民主,254
国家,镇压,165
国家,统治阶级,121
国家,暴力,118
国家,阶级斗争,102
国家,苏维埃,51
国家,民主集中制,30
